# index arm charge dw23_bin_center wness_bin_center value uncertainty
384 0 0 -0.292500 0.922500 -0.070600 13.158014
385 0 0 -0.292500 0.927500 -0.075988 13.706480
386 0 0 -0.292500 0.932500 -0.081317 14.308573
387 0 0 -0.292500 0.937500 -0.086575 14.967992
388 0 0 -0.292500 0.942500 -0.091749 15.688560
389 0 0 -0.292500 0.947500 -0.096829 16.474217
390 0 0 -0.292500 0.952500 -0.101802 17.329015
391 0 0 -0.292500 0.957500 -0.106658 18.257110
392 0 0 -0.292500 0.962500 -0.111385 19.262755
393 0 0 -0.292500 0.967500 -0.115974 20.350293
394 0 0 -0.292500 0.972500 -0.120414 21.524147
395 0 0 -0.292500 0.977500 -0.124696 22.788808
396 0 0 -0.292500 0.982500 -0.128809 24.148829
397 0 0 -0.292500 0.987500 -0.132746 25.608812
398 0 0 -0.292500 0.992500 -0.136498 27.173393
399 0 0 -0.292500 0.997500 -0.140057 28.847237
400 0 0 -0.287500 0.002500 -0.278119 25.947774
401 0 0 -0.287500 0.007500 -0.249293 24.409784
402 0 0 -0.287500 0.012500 -0.220951 22.976915
403 0 0 -0.287500 0.017500 -0.193122 21.644429
404 0 0 -0.287500 0.022500 -0.165834 20.407625
405 0 0 -0.287500 0.027500 -0.139113 19.261857
406 0 0 -0.287500 0.032500 -0.112986 18.202540
407 0 0 -0.287500 0.037500 -0.087477 17.225160
408 0 0 -0.287500 0.042500 -0.062610 16.325291
409 0 0 -0.287500 0.047500 -0.038408 15.498594
410 0 0 -0.287500 0.052500 -0.014893 14.740835
411 0 0 -0.287500 0.057500 0.007915 14.047888
412 0 0 -0.287500 0.062500 0.029997 13.415741
413 0 0 -0.287500 0.067500 0.051334 12.840507
414 0 0 -0.287500 0.072500 0.071910 12.318424
415 0 0 -0.287500 0.077500 0.091710 11.845865
416 0 0 -0.287500 0.082500 0.110719 11.419337
417 0 0 -0.287500 0.087500 0.128925 11.035488
418 0 0 -0.287500 0.092500 0.146316 10.691108
419 0 0 -0.287500 0.097500 0.162883 10.383130
420 0 0 -0.287500 0.102500 0.178617 10.108634
421 0 0 -0.287500 0.107500 0.193511 9.864845
422 0 0 -0.287500 0.112500 0.207560 9.649132
423 0 0 -0.287500 0.117500 0.220759 9.459010
424 0 0 -0.287500 0.122500 0.233105 9.292137
425 0 0 -0.287500 0.127500 0.244598 9.146311
426 0 0 -0.287500 0.132500 0.255237 9.019472
427 0 0 -0.287500 0.137500 0.265025 8.909692
428 0 0 -0.287500 0.142500 0.273963 8.815180
429 0 0 -0.287500 0.147500 0.282058 8.734271
430 0 0 -0.287500 0.152500 0.289314 8.665426
431 0 0 -0.287500 0.157500 0.295739 8.607228
432 0 0 -0.287500 0.162500 0.301342 8.558373
433 0 0 -0.287500 0.167500 0.306133 8.517672
434 0 0 -0.287500 0.172500 0.310122 8.484039
435 0 0 -0.287500 0.177500 0.313324 8.456492
436 0 0 -0.287500 0.182500 0.315750 8.434142
437 0 0 -0.287500 0.187500 0.317418 8.416193
438 0 0 -0.287500 0.192500 0.318342 8.401932
439 0 0 -0.287500 0.197500 0.318541 8.390727
440 0 0 -0.287500 0.202500 0.318033 8.382019
441 0 0 -0.287500 0.207500 0.316837 8.375321
442 0 0 -0.287500 0.212500 0.314974 8.370206
443 0 0 -0.287500 0.217500 0.312466 8.366309
444 0 0 -0.287500 0.222500 0.309335 8.363315
445 0 0 -0.287500 0.227500 0.305604 8.360962
446 0 0 -0.287500 0.232500 0.301298 8.359029
447 0 0 -0.287500 0.237500 0.296441 8.357338
448 0 0 -0.287500 0.242500 0.291058 8.355743
449 0 0 -0.287500 0.247500 0.285177 8.354131
450 0 0 -0.287500 0.252500 0.278823 8.352418
451 0 0 -0.287500 0.257500 0.272024 8.350543
452 0 0 -0.287500 0.262500 0.264807 8.348466
453 0 0 -0.287500 0.267500 0.257201 8.346164
454 0 0 -0.287500 0.272500 0.249233 8.343630
455 0 0 -0.287500 0.277500 0.240933 8.340869
456 0 0 -0.287500 0.282500 0.232328 8.337894
457 0 0 -0.287500 0.287500 0.223448 8.334729
458 0 0 -0.287500 0.292500 0.214322 8.331401
459 0 0 -0.287500 0.297500 0.204978 8.327942
460 0 0 -0.287500 0.302500 0.195445 8.324386
461 0 0 -0.287500 0.307500 0.185752 8.320770
462 0 0 -0.287500 0.312500 0.175928 8.317129
463 0 0 -0.287500 0.317500 0.165999 8.313498
464 0 0 -0.287500 0.322500 0.155995 8.309911
465 0 0 -0.287500 0.327500 0.145943 8.306399
466 0 0 -0.287500 0.332500 0.135869 8.302989
467 0 0 -0.287500 0.337500 0.125800 8.299708
468 0 0 -0.287500 0.342500 0.115762 8.296578
469 0 0 -0.287500 0.347500 0.105780 8.293617
470 0 0 -0.287500 0.352500 0.095879 8.290839
471 0 0 -0.287500 0.357500 0.086083 8.288257
472 0 0 -0.287500 0.362500 0.076415 8.285879
473 0 0 -0.287500 0.367500 0.066896 8.283709
474 0 0 -0.287500 0.372500 0.057550 8.281749
475 0 0 -0.287500 0.377500 0.048395 8.279998
476 0 0 -0.287500 0.382500 0.039452 8.278452
477 0 0 -0.287500 0.387500 0.030740 8.277106
478 0 0 -0.287500 0.392500 0.022276 8.275950
479 0 0 -0.287500 0.397500 0.014077 8.274976
480 0 0 -0.287500 0.402500 0.006158 8.274172
481 0 0 -0.287500 0.407500 -0.001466 8.273526
482 0 0 -0.287500 0.412500 -0.008782 8.273023
483 0 0 -0.287500 0.417500 -0.015778 8.272651
484 0 0 -0.287500 0.422500 -0.022441 8.272395
