index arm charge wness_bin_center dw23_bin_center entries
342 0 0 0.230000 -0.050000 37
343 0 0 0.230000 -0.030000 46
344 0 0 0.230000 -0.010000 33
345 0 0 0.230000 0.010000 35
346 0 0 0.230000 0.030000 20
347 0 0 0.230000 0.050000 17
348 0 0 0.230000 0.070000 8
349 0 0 0.230000 0.090000 6
350 0 0 0.230000 0.110000 5
351 0 0 0.230000 0.130000 4
352 0 0 0.230000 0.150000 3
353 0 0 0.230000 0.170000 1
354 0 0 0.230000 0.190000 0
355 0 0 0.230000 0.210000 0
356 0 0 0.230000 0.230000 0
357 0 0 0.230000 0.250000 0
358 0 0 0.230000 0.270000 0
359 0 0 0.230000 0.290000 0
360 0 0 0.250000 -0.290000 0
361 0 0 0.250000 -0.270000 2
362 0 0 0.250000 -0.250000 0
363 0 0 0.250000 -0.230000 0
364 0 0 0.250000 -0.210000 0
365 0 0 0.250000 -0.190000 0
366 0 0 0.250000 -0.170000 3
